longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,price_to_income_ratio
-1.3278352216308462,1.0525482830366848,0.9821426581785077,-0.8048190966246049,-0.9724764790070289,-0.9744285971768408,-0.9770328537634586,2.3447657583017163,452600.0,0.0,0.0,1.0,0.0,-0.06614507772931867
-1.3228439144608317,1.043184551645693,-0.6070189133741593,2.045890099248613,1.357143430032187,0.8614388682720688,1.6699610275640624,2.3322379635373314,358500.0,0.0,0.0,1.0,0.0,-0.4116721137473219
-1.3328265288008536,1.038502685950199,1.8561815225324745,-0.5357458858226144,-0.8270242636013051,-0.8207773518723145,-0.8436369170562416,1.7826994032844994,352100.0,0.0,0.0,1.0,0.0,-0.24692204047693309
-1.3378178359708683,1.038502685950199,1.8561815225324745,-0.6242145905667101,-0.7197234489577383,-0.7660280575684029,-0.7337814397679453,0.9329675088245888,341300.0,0.0,0.0,1.0,0.0,0.12287843390985995
-1.3378178359708683,1.038502685950199,1.8561815225324745,-0.4624039544285455,-0.6124226343141715,-0.7598466856308644,-0.6291571756838535,-0.012880995886439435,342200.0,0.0,0.0,1.0,0.0,1.0034184779655735
-1.3378178359708683,1.038502685950199,1.8561815225324745,-0.7869420008473006,-0.7721816250057043,-0.8940707619888414,-0.8017872114226049,0.08744663781489194,269700.0,0.0,0.0,1.0,0.0,0.3185012838179629
-1.3378178359708683,1.0338208202547048,1.8561815225324745,-0.046188493767204096,-0.11406996185849487,-0.29271157777974693,0.037822507852231305,-0.11136630682830236,299200.0,0.0,0.0,1.0,0.0,0.7808203757373532
-1.3378178359708683,1.0338208202547048,1.8561815225324745,0.21463374975295366,0.35805362257319884,-0.23707923034190118,0.38569818593183636,-0.39513664957954914,241400.0,0.0,0.0,1.0,0.0,0.6449239801242337
-1.3428091431408828,1.0338208202547048,1.0616007367561409,-0.03702075234294548,0.30559544652523285,-0.19380962677913224,0.24968664262251708,-0.9423591469347639,226700.0,0.0,0.0,1.0,0.0,1.6215119364637243
-1.3378178359708683,1.0338208202547048,1.8561815225324745,0.41861599644270797,0.40574287352589516,0.11084370442811828,0.56094382827269,-0.0944695752343217,261100.0,0.0,0.0,1.0,0.0,0.4398254378188425
-1.3428091431408828,1.038502685950199,1.8561815225324745,-0.19883138848111012,-0.2452154019784098,-0.45519335442361386,-0.2551254315832256,-0.35139464349045885,281500.0,0.0,0.0,1.0,0.0,0.9698126952693785
